from,to,line,7_in,7_out,8_in,8_out
모란,야탑,분당선,63937,43734,80713,106822
야탑,이매,분당선,22044,13524,25505,22150
이매,서현,분당선,39764,41270,51004,90822
서현,수내,분당선,20844,16947,28326,59743
수내,정자,분당선,32981,24986,41783,69600
정자,미금,분당선,30911,20988,41176,52604
미금,오리,분당선,36100,14697,40989,36716
오리,죽전,분당선,51144,20000,49543,36329
죽전,보정,분당선,10975,2649,13149,7547
보정,구성,분당선,24999,5072,26657,9167
구성,신갈,분당선,21622,2538,24590,7538
신갈,기흥,분당선,43272,9613,46792,26355
기흥,상갈,분당선,24022,7405,27898,12224
상갈,청명,분당선,21029,6101,21901,10852
청명,영통,분당선,21706,10426,23344,31368
영통,망포,분당선,56799,21422,57760,42109
